id;date;titre_court_de;titre_court_fr;titre_court_en;titre_complet_de;titre_complet_fr;mot_cle;swissvoteslink;forme;d1e1;d1e2;d1e3;d2e1;d2e2;d2e3;d3e1;d3e2;d3e3;cf-pos;legislature;annee_legislatur;info_br-de;info_br-fr;info_br-en;info_amt-de;info_amt-fr;info_amt-en;easyvideo_de;easyvideo_fr;p-fdp;p-sps;p-svp;p-mitte;p-evp;p-gps;p-glp;p-pda;p-sd;p-edu;p-fps;p-lega;p-kvp;p-mcg;p-ucsp;p-cvp;p-bdp;p-lps;p-ldu;p-poch;p-rep;p-eco;p-sgv;p-sbv;p-sgb;p-travs;p-sav;p-vsa;p-vpod;p-voev;p-tcs;p-vcs;p-acs;p-sbk;p-ssv;p-gem;p-kdk;p-kkjpd;p-gdk;p-ldk;p-vdk;p-sodk;p-endk;p-fdk;p-edk;p-bpuk;w-fdp;w-sp;w-svp;w-mitte;w-evp;w-gps;w-glp;w-csp;w-pda;w-sd;w-edu;w-fps;w-lega;w-kvp;w-mcg;w-cvp;w-bdp;w-lps;w-ldu;w-poch;w-rep;w-ubrige;ja-lager;nein-lager;keinepar-summe;freigabe-summe;unbekannt-summe;neutral-summe;poster_ja_mfg;poster_nein_mfg;volk;stand;annahme;berecht;stimmen;bet;leer;volkja;volknein;volkja-proz;kt-ja;kt-nein;ktjaproz;zh-berecht;zh-stimmen;zh-bet;zh-gultig;zh-ja;zh-nein;zh-japroz;zh-annahme;be-berecht;be-stimmen;be-bet;be-gultig;be-ja;be-nein;be-japroz;be-annahme;lu-berecht;lu-stimmen;lu-bet;lu-gultig;lu-ja;lu-nein;lu-japroz;lu-annahme;ur-berecht;ur-stimmen;ur-bet;ur-gultig;ur-ja;ur-nein;ur-japroz;ur-annahme;sz-berecht;sz-stimmen;sz-bet;sz-gultig;sz-ja;sz-nein;sz-japroz;sz-annahme;ow-berecht;ow-stimmen;ow-bet;ow-gultig;ow-ja;ow-nein;ow-japroz;ow-annahme;nw-berecht;nw-stimmen;nw-bet;nw-gultig;nw-ja;nw-nein;nw-japroz;nw-annahme;gl-berecht;gl-stimmen;gl-bet;gl-gultig;gl-ja;gl-nein;gl-japroz;gl-annahme;zg-berecht;zg-stimmen;zg-bet;zg-gultig;zg-ja;zg-nein;zg-japroz;zg-annahme;fr-berecht;fr-stimmen;fr-bet;fr-gultig;fr-ja;fr-nein;fr-japroz;fr-annahme;so-berecht;so-stimmen;so-bet;so-gultig;so-ja;so-nein;so-japroz;so-annahme;bs-berecht;bs-stimmen;bs-bet;bs-gultig;bs-ja;bs-nein;bs-japroz;bs-annahme;bl-berecht;bl-stimmen;bl-bet;bl-gultig;bl-ja;bl-nein;bl-japroz;bl-annahme;sh-berecht;sh-stimmen;sh-bet;sh-gultig;sh-ja;sh-nein;sh-japroz;sh-annahme;ar-berecht;ar-stimmen;ar-bet;ar-gultig;ar-ja;ar-nein;ar-japroz;ar-annahme;ai-berecht;ai-stimmen;ai-bet;ai-gultig;ai-ja;ai-nein;ai-japroz;ai-annahme;sg-berecht;sg-stimmen;sg-bet;sg-gultig;sg-ja;sg-nein;sg-japroz;sg-annahme;gr-berecht;gr-stimmen;gr-bet;gr-gultig;gr-ja;gr-nein;gr-japroz;gr-annahme;ag-berecht;ag-stimmen;ag-bet;ag-gultig;ag-ja;ag-nein;ag-japroz;ag-annahme;tg-berecht;tg-stimmen;tg-bet;tg-gultig;tg-ja;tg-nein;tg-japroz;tg-annahme;ti-berecht;ti-stimmen;ti-bet;ti-gultig;ti-ja;ti-nein;ti-japroz;ti-annahme;vd-berecht;vd-stimmen;vd-bet;vd-gultig;vd-ja;vd-nein;vd-japroz;vd-annahme;vs-berecht;vs-stimmen;vs-bet;vs-gultig;vs-ja;vs-nein;vs-japroz;vs-annahme;ne-berecht;ne-stimmen;ne-bet;ne-gultig;ne-ja;ne-nein;ne-japroz;ne-annahme;ge-berecht;ge-stimmen;ge-bet;ge-gultig;ge-ja;ge-nein;ge-japroz;ge-annahme;ju-berecht;ju-stimmen;ju-bet;ju-gultig;ju-ja;ju-nein;ju-japroz;ju-annahme;bkresults-de;bkresults-fr
305;05.04.1981;Initiative «für eine neue Ausländerpolitik»;Initiative «pour une nouvelle politique à l'égard des étrangers»;;Volksinitiative «Mitenand-Initiative für eine neue Ausländerpolitik»;Initiative populaire «être solidaires en faveur d'une nouvelle politique à l'égard des étrangers»;.;https://swissvotes.ch/vote/305.00;3;10;10,3;10,31;4;4,2;4,24;.;.;.;2;41;1979-1983;;;;;;;.;.;2;1;2;9999;2;.;9999;1;2;.;9999;9999;9999;9999;.;2;9999;2;1;1;2;2;2;2;5;1;2;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;32,29;63,87;0,00;0,00;3,88;.;.;.;0;0;0;3947890;1574500;39,88;15524;252531;1304153;16,22;0;23;0,00;701539;300691;42,86;297131;46445;250686;15,63;0;609128;201964;33,16;200333;27327;173006;13,64;0;185920;78829;42,40;78238;9969;68269;12,74;0;21801;10348;47,47;10156;1029;9127;10,13;0;59882;22885;38,22;22780;2522;20258;11,07;0;16395;6240;38,06;6191;535;5656;8,64;0;19103;8159;42,71;8088;794;7294;9,82;0;22741;9534;41,92;9487;672;8815;7,08;0;45252;22038;48,70;21903;2693;19210;12,30;0;117231;45397;38,72;45026;10902;34124;24,21;0;139820;52778;37,75;51765;6904;44861;13,34;0;139506;50980;36,54;50653;9528;41125;18,81;0;137622;53420;38,82;52715;9481;43234;17,99;0;43399;30783;70,93;29363;4453;24910;15,17;0;30461;12072;39,63;11972;1257;10715;10,50;0;8388;3479;41,48;3444;244;3200;7,08;0;235352;84217;35,78;83641;8426;75215;10,07;0;103690;41381;39,91;40905;3596;37309;8,79;0;274638;94972;34,58;94166;11071;83095;11,76;0;107973;46618;43,18;46020;4803;41217;10,44;0;153235;73517;47,98;72397;13205;59192;18,24;0;313570;114966;36,66;113991;28201;85790;24,74;0;138660;63857;46,05;63239;8193;55046;12,96;0;97381;49045;50,36;47917;14635;33282;30,54;0;184011;82822;45,01;81843;19743;62100;24,12;0;41246;13508;32,75;13320;5903;7417;44,32;0;https://www.bk.admin.ch/ch/d/pore/va/19810405/det305.html;https://www.bk.admin.ch/ch/f/pore/va/19810405/det305.html
306;14.06.1981;Artikel zur Gleichstellung von Mann und Frau;Egalité des droits entre hommes et femmes;;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau» (Gegenentwurf);Arrêté fédéral concernant l'initiative populaire «pour l'égalité des droits entre hommes et femmes» (contre-projet);.;https://swissvotes.ch/vote/306.00;4;10;10,3;10,33;1;1,6;1,62;.;.;.;1;41;1979-1983;;;;;;;.;.;1;1;1;9999;1;.;9999;1;2;.;9999;9999;9999;9999;.;1;9999;1;1;1;2;.;.;.;1;1;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;94,21;1,96;0,00;0,00;3,88;.;https://www.emuseum.ch/objects/230386/;.;1;1;1;3958455;1343601;33,94;17312;797702;525885;60,27;15,5;7,5;67,39;703453;270321;38,43;266619;168099;98520;63,05;1;609921;179036;29,35;177168;108695;68473;61,35;1;186853;68552;36,69;67982;34313;33669;50,47;1;21801;8508;39,03;8265;3616;4649;43,75;0;60191;20283;33,70;20075;7594;12481;37,83;0;16417;5442;33,15;5362;2818;2544;52,56;1;19246;7235;37,59;7141;3508;3633;49,12;0;22792;8072;35,42;8014;3362;4652;41,95;0;45447;20789;45,74;20554;11925;8629;58,02;1;117543;29240;24,88;28936;18674;10262;64,54;1;140444;92184;65,64;88576;51029;37547;57,61;1;139188;45153;32,44;44687;32354;12333;72,40;1;137971;44883;32,53;44530;30540;13990;68,58;1;43514;30235;69,48;28591;16673;11918;58,32;1;30578;11348;37,11;11244;4743;6501;42,18;0;8398;2558;30,46;2529;805;1724;31,83;0;236282;74314;31,45;73620;34073;39547;46,28;0;102925;30537;29,67;30054;16830;13224;56,00;1;276126;86934;31,48;85950;44782;41168;52,10;1;108319;40932;37,79;40270;19469;20801;48,35;0;153826;43591;28,34;42915;28438;14477;66,27;1;315081;79143;25,12;78446;54073;24373;68,93;1;138769;33511;24,15;33084;15237;17847;46,06;0;97585;30840;31,60;30399;20095;10304;66,10;1;184503;68776;37,28;67536;57507;10029;85,15;1;41282;11184;27,09;11040;8450;2590;76,54;1;https://www.bk.admin.ch/ch/d/pore/va/19810614/det306.html;https://www.bk.admin.ch/ch/f/pore/va/19810614/det306.html
307;14.06.1981;Konsumentenschutz-Artikel;Article constitutionnel sur la protection des consommateurs;;Bundesbeschluss über die Volksinitiative «zur Absicherung der Rechte der Konsumenten» (Gegenentwurf);Arrêté fédéral concernant l'initiative populaire «pour la protection des droits des consommateurs» (contre-projet);.;https://swissvotes.ch/vote/307.00;4;4;4,1;4,15;.;.;.;.;.;.;1;41;1979-1983;;;;;;;.;.;2;1;1;9999;1;.;9999;1;1;.;9999;9999;9999;9999;.;1;9999;2;1;1;2;2;5;.;1;1;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;68,73;27,44;0,00;0,00;3,88;.;.;.;1;1;1;3958455;1341560;33,89;29949;858012;450994;65,55;20;3;86,96;703453;268994;38,24;261035;172782;88253;66,19;1;609921;179036;29,35;176395;122796;53599;69,61;1;186853;68552;36,69;67452;39061;28391;57,91;1;21801;8454;38,78;8036;4898;3138;60,95;1;60191;20280;33,69;19873;9114;10759;45,86;0;16417;5433;33,09;5264;2446;2818;46,47;0;19246;7223;37,53;7061;3961;3100;56,10;1;22792;8063;35,38;7970;4826;3144;60,55;1;45447;20670;45,48;20192;12502;7690;61,92;1;117543;29214;24,85;28774;19606;9168;68,14;1;140444;92184;65,64;88039;61795;26244;70,19;1;139188;45114;32,41;44341;35739;8602;80,60;1;137971;44793;32,47;44230;32457;11773;73,38;1;43514;30349;69,75;27843;16236;11607;58,31;1;30578;11305;36,97;11118;5821;5297;52,36;1;8398;2549;30,35;2517;1126;1391;44,74;0;236282;74189;31,40;73172;43486;29686;59,43;1;102925;30525;29,66;29768;18854;10914;63,34;1;276126;86753;31,42;84901;51439;33462;60,59;1;108319;40911;37,77;39877;20977;18900;52,60;1;153826;43591;28,34;42647;32535;10112;76,29;1;315081;79122;25,11;77822;47902;29920;61,55;1;138769;33499;24,14;32692;14833;17859;45,37;0;97585;30813;31,58;30263;20766;9497;68,62;1;184503;68776;37,28;66785;53206;13579;79,67;1;41282;11168;27,05;10939;8848;2091;80,88;1;https://www.bk.admin.ch/ch/d/pore/va/19810614/det307.html;https://www.bk.admin.ch/ch/f/pore/va/19810614/det307.html
308;29.11.1981;Weiterführung der Finanzordnung;Prorogation du régime financier;;Bundesbeschluss über die Weiterführung der Finanzordnung und die Verbesserung des Bundeshaushaltes;Arrêté fédéral sur la prorogation du régime financier et l'amélioration des finances fédérales;.;https://swissvotes.ch/vote/308.00;1;6;6,2;.;6;6,1;6,12;.;.;.;1;41;1979-1983;;;;;;;.;.;1;1;1;9999;1;.;9999;2;5;.;9999;9999;9999;9999;.;1;9999;1;2;2;2;1;5;1;1;1;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;86,36;8,48;0,00;1,32;3,88;.;.;.;1;1;1;3976769;1207049;30,35;18598;818327;368508;68,95;23;0;100,00;706319;282232;39,96;277648;205468;72180;74,00;1;613123;171847;28,03;170363;118009;52354;69,27;1;188034;72295;38,45;71064;47783;23281;67,24;1;21875;8775;40,11;8563;5513;3050;64,38;1;60662;19880;32,77;19690;11638;8052;59,11;1;16611;5105;30,73;5040;2853;2187;56,61;1;19471;6154;31,61;6083;4215;1868;69,29;1;22836;7293;31,94;7237;4817;2420;66,56;1;45782;19964;43,61;19747;13359;6388;67,65;1;118473;29891;25,23;29564;20806;8758;70,38;1;141168;49615;35,15;48523;30907;17616;63,70;1;138859;31456;22,65;31195;22034;9161;70,63;1;138643;36955;26,65;36471;24224;12247;66,42;1;43704;29248;66,92;26594;18213;8381;68,49;1;30766;11539;37,51;11394;7219;4175;63,36;1;8403;2532;30,13;2514;1639;875;65,19;1;237831;68016;28,60;67403;45221;22182;67,09;1;103549;29187;28,19;28679;21147;7532;73,74;1;278259;70538;25,35;69692;45458;24234;65,23;1;109302;40519;37,07;39462;26574;12888;67,34;1;154697;41498;26,83;40424;29106;11318;72,00;1;313940;66018;21,03;65322;45271;20051;69,30;1;139889;29180;20,86;28804;16573;12231;57,54;1;97878;23102;23,60;22740;14602;8138;64,21;1;185266;45004;24,29;43568;30344;13224;69,65;1;41429;9206;22,22;9051;5334;3717;58,93;1;https://www.bk.admin.ch/ch/d/pore/va/19811129/det308.html;https://www.bk.admin.ch/ch/f/pore/va/19811129/det308.html
309;06.06.1982;Revision des Strafgesetzes (Gewaltverbrechen);Révision du code pénal (actes de violence criminels);;Schweizerisches Strafgesetzbuch (Gewaltverbrechen);Code pénal suisse, modification du 09.10.1981 (Actes de violence criminels);.;https://swissvotes.ch/vote/309.00;2;1;1,6;1,65;3;3,1;3,12;.;.;.;1;41;1979-1983;;;;;;;.;.;1;2;1;9999;1;.;9999;2;1;1;9999;9999;9999;9999;.;1;9999;1;1;2;1;3;1;.;2;2;3;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;68,20;28,22;0,00;0,00;3,63;.;.;https://www.emuseum.ch/objects/11235/ https://www.emuseum.ch/objects/174159/;1;3;1;3999674;1407028;35,18;22595;880880;501791;63,71;22;1;95,65;708674;314809;44,42;308956;203221;105735;65,78;1;616186;245575;39,85;242052;160362;81690;66,25;1;189817;64192;33,82;63230;40285;22945;63,71;1;22049;8241;37,38;8046;4965;3081;61,71;1;61145;19366;31,67;19101;12091;7010;63,30;1;16863;7666;45,46;7402;4888;2514;66,04;1;19669;6545;33,28;6421;4353;2068;67,79;1;22855;12946;56,64;12739;8500;4239;66,72;1;46330;18040;38,94;17848;11370;6478;63,70;1;119411;27303;22,86;26914;18035;8879;67,01;1;141967;57993;40,85;56671;35898;20773;63,34;1;138488;50095;36,17;49600;27661;21939;55,77;1;139872;45929;32,84;45352;24208;21144;53,38;1;43928;30198;68,74;28080;17268;10812;61,50;1;30873;11409;36,95;11254;7734;3520;68,72;1;8534;2192;25,69;2178;1682;496;77,23;1;239362;76460;31,94;75703;53914;21789;71,22;1;104450;27947;26,76;27369;17330;10039;63,32;1;280529;83893;29,91;82744;50045;32699;60,48;1;110173;42337;38,43;41413;26607;14806;64,25;1;155992;52762;33,82;51677;31613;20064;61,17;1;316131;75094;23,75;74021;44121;29900;59,61;1;141178;29948;21,21;29412;17181;12231;58,41;1;97509;30872;31,66;30376;19161;11215;63,08;1;186031;55867;30,03;54906;34632;20274;63,08;1;41658;9349;22,44;9206;3755;5451;40,79;0;https://www.bk.admin.ch/ch/d/pore/va/19820606/det310.html;https://www.bk.admin.ch/ch/f/pore/va/19820606/det310.html
310;06.06.1982;Ausländergesetz;Loi sur les étrangers;;Ausländergesetz;Loi sur les étrangers (LETr);.;https://swissvotes.ch/vote/310.00;2;10;10,3;10,31;4;4,2;4,24;.;.;.;1;41;1979-1983;;;;;;;.;.;1;1;1;9999;1;.;9999;1;2;2;9999;9999;9999;9999;.;1;9999;1;1;1;2;1;1;1;1;1;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;94,21;2,21;0,00;0,00;3,63;.;https://www.emuseum.ch/objects/5355/ https://www.emuseum.ch/objects/108580/ https://www.emuseum.ch/objects/108581/;.;0;3;0;3999674;1406966;35,18;34425;680404;690268;49,64;9;14;39,13;708674;314986;44,45;305963;155003;150960;50,66;1;616186;245573;39,85;239362;115445;123917;48,23;0;189817;64180;33,81;63038;28619;34419;45,40;0;22049;8227;37,31;7947;3454;4493;43,46;0;61145;19358;31,66;18993;7956;11037;41,89;0;16863;7649;45,36;7347;3187;4160;43,38;0;19669;6527;33,18;6379;3183;3196;49,90;0;22855;12946;56,64;12692;5049;7643;39,78;0;46330;18165;39,21;17829;8464;9365;47,47;0;119411;27293;22,86;26628;15747;10881;59,14;1;141967;57993;40,85;56494;26622;29872;47,12;0;138488;50101;36,18;49242;25072;24170;50,92;1;139872;45871;32,79;45202;23201;22001;51,33;1;43928;30215;68,78;27785;13488;14297;48,54;0;30873;11395;36,91;11210;5172;6038;46,14;0;8534;2123;24,88;2096;1005;1091;47,95;0;239362;76452;31,94;75312;39454;35858;52,39;1;104450;27895;26,71;27028;13631;13397;50,43;1;280529;83845;29,89;82263;37715;44548;45,85;0;110173;42244;38,34;41053;18756;22297;45,69;0;155992;52762;33,82;51436;23517;27919;45,72;0;316131;75095;23,75;73279;42086;31193;57,43;1;141178;29956;21,22;29243;14652;14591;50,10;1;97509;30902;31,69;30091;18029;12062;59,91;1;186031;55867;30,03;53764;26527;27237;49,34;0;41658;9346;22,44;8996;5370;3626;59,69;1;https://www.bk.admin.ch/ch/d/pore/va/19820606/det309.html;https://www.bk.admin.ch/ch/f/pore/va/19820606/det309.html
311,1;28.11.1982;Preisüberwachungs-Initiative;Initiative sur la surveillance des prix;;Volksinitiative «zur Verhinderung missbräuchlicher Preise»;Initiative populaire «tendant à empêcher des abus dans la formation des prix»;.;https://swissvotes.ch/vote/311.10;3;4;4,1;4,14;4;4,1;4,15;.;.;.;2;41;1979-1983;;;;;;;.;.;2;1;2;9999;1;.;9999;1;1;2;9999;9999;9999;9999;.;5;9999;2;1;1;2;2;2;2;1;1;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;35,84;39,29;0,00;21,29;3,63;.;.;.;1;1;1;4022995;1324471;32,92;12579;730938;530523;56,13;18;5;78,26;711634;272112;38,24;268023;156703;104769;58,47;1;620471;193810;31,24;191809;105334;80923;54,92;1;191068;62103;32,50;61048;31803;27135;52,10;1;22218;8810;39,65;8544;4767;3559;55,79;1;61825;19597;31,70;19299;8878;9766;46,00;0;17069;4223;24,74;4156;1814;2227;43,65;0;19973;6262;31,35;6192;2708;3260;43,73;0;22942;7326;31,93;7271;4075;2963;56,04;1;46888;18545;39,55;18392;9874;7878;53,69;1;120335;29173;24,24;28794;16081;12095;55,85;1;142766;53167;37,24;52315;32388;18109;61,91;1;138023;40380;29,26;40042;26404;11460;65,94;1;141283;43407;30,72;42877;25015;15901;58,34;1;44130;30251;68,55;28603;15459;12297;54,05;1;31159;11570;37,13;11364;4519;6426;39,77;0;8567;2508;29,28;2479;852;1571;34,37;0;241486;74131;30,70;73328;37379;32840;50,98;1;104873;34018;32,44;33250;16620;14427;49,98;1;282644;84048;29,74;82887;43948;35776;53,02;1;111122;46604;41,94;45398;20882;22581;46,00;0;157108;46772;29,77;45969;34017;11209;74,00;1;317314;127885;40,30;123882;69540;50649;56,13;1;142117;28901;20,34;28344;12211;15549;43,08;0;97593;30184;30,93;29831;18256;11102;61,20;1;186578;39659;21,26;39180;24498;14157;62,53;1;41809;9025;21,59;8917;6913;1894;77,53;1;https://www.bk.admin.ch/ch/d/pore/va/19821128/det311.html;https://www.bk.admin.ch/ch/f/pore/va/19821128/det311.html
311,2;28.11.1982;Gegenentwurf zur Preisüberwachungs-Initiative;Contre-projet à l'initiative sur la surveillance des prix;;Gegenentwurf zur Volksinitiative «zur Verhinderung missbräuchlicher Preise»;Contre-projet à l'initiative populaire «tendant à empêcher des abus dans la formation des prix»;.;https://swissvotes.ch/vote/311.20;4;4;4,1;4,14;4;4,1;4,15;.;.;.;1;41;1979-1983;;;;;;;.;.;1;2;1;9999;4;.;9999;2;4;2;9999;9999;9999;9999;.;5;9999;2;2;2;2;2;2;1;2;2;2;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;35,61;35,97;0,00;21,29;3,63;.;.;.;0;0;0;4022995;1324471;32,92;12579;281132;851006;21,59;0;23;0,00;711634;272112;38,24;268023;55923;177022;20,87;0;620471;193810;31,24;191809;47989;121850;25,02;0;191068;62103;32,50;61048;13812;38402;22,62;0;22218;8810;39,65;8544;1643;5736;19,23;0;61825;19597;31,70;19299;3902;13005;20,22;0;17069;4223;24,74;4156;910;2849;21,90;0;19973;6262;31,35;6192;1639;3837;26,47;0;22942;7326;31,93;7271;1574;4780;21,65;0;46888;18545;39,55;18392;3815;11592;20,74;0;120335;29173;24,24;28794;6650;20064;23,10;0;142766;53167;37,24;52315;11535;33286;22,05;0;138023;40380;29,26;40042;8786;22442;21,94;0;141283;43407;30,72;42877;10563;22676;24,64;0;44130;30251;68,55;28603;4236;19530;14,81;0;31159;11570;37,13;11364;2453;7664;21,59;0;8567;2508;29,28;2479;702;1645;28,32;0;241486;74131;30,70;73328;18911;43910;25,79;0;104873;34018;32,44;33250;9096;18175;27,36;0;282644;84048;29,74;82887;19171;51880;23,13;0;111122;46604;41,94;45398;13166;25690;29,00;0;157108;46772;29,77;45969;5835;36297;12,69;0;317314;127885;40,30;123882;24581;85333;19,84;0;142117;28901;20,34;28344;3973;22048;14,02;0;97593;30184;30,93;29831;4329;23287;14,51;0;186578;39659;21,26;39180;4930;30681;12,58;0;41809;9025;21,59;8917;1008;7325;11,30;0;https://www.bk.admin.ch/ch/d/pore/va/19821128/det311.html;https://www.bk.admin.ch/ch/f/pore/va/19821128/det311.html
312;27.02.1983;Neuregelung der Treibstoffzölle;Nouvelle réglementation des droits de douane sur les carburants;;Bundesbeschluss über die Neuregelung bei den Treibstoffzöllen;Arrêté fédéral concernant une nouvelle réglementation des droits de douane sur les carburants;.;https://swissvotes.ch/vote/312.00;1;8;8,2;8,21;6;6,1;6,14;.;.;.;1;41;1979-1983;;;;;;;.;.;1;5;1;9999;2;.;9999;2;2;.;9999;9999;9999;9999;.;1;9999;1;2;2;2;1;1;1;1;1;1;1;.;.;.;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;59,70;12,03;0,00;24,44;3,88;.;.;.;1;1;1;4034694;1307873;32,42;17706;679134;609871;52,69;15,5;7,5;67,39;713637;288000;40,36;283180;137646;145534;48,61;0;621719;184479;29,67;182890;97347;85543;53,23;1;191667;76662;40,00;75450;39460;35990;52,30;1;22256;8772;39,41;8608;5504;3104;63,94;1;62116;21116;33,99;21013;10350;10663;49,26;0;17081;5823;34,09;5771;2709;3062;46,94;0;20060;7767;38,72;7695;3948;3747;51,31;1;22871;7769;33,97;7714;4047;3667;52,46;1;47065;20956;44,53;20658;10966;9692;53,08;1;120964;31699;26,21;31233;16943;14290;54,25;1;142936;55376;38,74;54806;27950;26856;51,00;1;138057;41802;30,28;41464;21727;19737;52,40;1;141682;48136;33,97;47718;24652;23066;51,66;1;44239;31146;70,40;28948;12773;16175;44,12;0;31176;12374;39,69;12254;5280;6974;43,09;0;8601;3086;35,88;3064;1372;1692;44,78;0;241790;80596;33,33;79947;39445;40502;49,34;0;106455;33313;31,29;32775;21663;11112;66,10;1;283702;94885;33,45;93821;41613;52208;44,35;0;111640;48238;43,21;47281;25009;22272;52,89;1;157332;41352;26,28;40447;28755;11692;71,09;1;318510;64343;20,20;63464;41446;22018;65,31;1;142914;33272;23,28;32847;21973;10874;66,89;1;97324;20398;20,96;20109;12991;7118;64,60;1;186825;35991;19,26;35490;17706;17784;49,89;0;42075;10522;25,01;10358;5859;4499;56,56;1;https://www.bk.admin.ch/ch/d/pore/va/19830227/det312.html;https://www.bk.admin.ch/ch/f/pore/va/19830227/det312.html
313;27.02.1983;Energieartikel;Article sur l'énergie;;Bundesbeschluss über den Energieartikel in der Bundesverfassung;Arrêté fédéral concernant l'article constitutionnel sur l'énergie;.;https://swissvotes.ch/vote/313.00;1;7;7,1;.;9;9,3;9,31;.;.;.;1;41;1979-1983;;;;;;;.;.;1;5;1;9999;1;.;9999;5;1;.;9999;9999;9999;9999;.;1;9999;1;2;2;2;3;2;1;1;1;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24,01;24,44;11,60;.;2,22;0,63;.;.;2,08;1,32;0,25;.;.;.;.;21,29;.;2,80;4,07;1,70;0,63;3,00;63,24;6,40;0,00;26,52;3,88;.;.;.;1;0;0;4034694;1306593;32,38;29811;649485;626047;50,92;11;12;47,83;713637;287538;40,29;278858;144202;134656;51,71;1;621719;184479;29,67;181546;97829;83717;53,89;1;191667;76641;39,99;74716;35976;38740;48,15;0;22256;8725;39,20;8466;4179;4287;49,36;0;62116;21120;34,00;20905;6982;13923;33,40;0;17081;5820;34,07;5715;2167;3548;37,92;0;20060;7761;38,69;7641;2876;4765;37,64;0;22871;7767;33,96;7679;3113;4566;40,54;0;47065;20898;44,40;20421;9337;11084;45,72;0;120964;31644;26,16;30979;16107;14872;51,99;1;142936;55376;38,74;54590;26635;27955;48,79;0;138057;41797;30,28;41156;19585;21571;47,59;0;141682;48127;33,97;47422;22556;24866;47,56;0;44239;31126;70,36;28024;12811;15213;45,71;0;31176;12344;39,59;12168;5480;6688;45,04;0;8601;3084;35,86;3044;1125;1919;36,96;0;241790;80319;33,22;79233;41234;37999;52,04;1;106455;33147;31,14;32348;16393;15955;50,68;1;283702;94760;33,40;92958;38187;54771;41,08;0;111640;48235;43,21;46829;24317;22512;51,93;1;157332;41352;26,28;40165;28105;12060;69,97;1;318510;64356;20,21;62712;36181;26531;57,69;1;142914;33272;23,28;32670;11168;21502;34,18;0;97324;20400;20,96;19985;12419;7566;62,14;1;186825;35991;19,26;35029;25143;9886;71,78;1;42075;10514;24,99;10273;5378;4895;52,35;1;https://www.bk.admin.ch/ch/d/pore/va/19830227/det313.html;https://www.bk.admin.ch/ch/f/pore/va/19830227/det313.html
