wahl_jahr;ebene_resultat;geoLevelName;kanton_nummer;kanton_bezeichnung;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;partei_staerke;flag_staerkste_partei;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;frauen_anteil
2007;Schweiz;Schweiz;;;31;GLP;PVL;PVL;GLP;1.4271561045;0;2;46;21;25;3;2;1;66.666666667
2007;Schweiz;Schweiz;;;33;MCR;MCR;MCR;MCR;0.1155213937;0;1;8;1;7;0;0;0;
2007;Schweiz;Schweiz;;;35;Übrige;Autres;Rimanenti;Others;1.7569385356;0;35;204;55;149;0;0;0;
2011;Schweiz;Schweiz;;;1;FDP;PLR;PLR;FDP;15.104533083;0;49;445;109;336;30;7;23;23.333333333
2011;Schweiz;Schweiz;;;2;CVP;PDC;PPD;CVP;12.30401273;0;46;396;136;260;28;9;19;32.142857143
2011;Schweiz;Schweiz;;;3;SP;PS;PS;SP;18.722161414;0;49;433;202;231;46;21;25;45.652173913
2011;Schweiz;Schweiz;;;4;SVP;UDC;UDC;SVP;26.556254079;1;47;390;72;318;54;6;48;11.111111111
2011;Schweiz;Schweiz;;;7;EVP;PEV;PEV;EVP;1.9973982108;0;18;243;79;164;2;2;0;100
2011;Schweiz;Schweiz;;;8;CSP;PCS;PCS;CSP;0.2557743755;0;4;35;17;18;0;0;0;
2011;Schweiz;Schweiz;;;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;0.8794652613;0;9;139;56;83;0;0;0;
2011;Schweiz;Schweiz;;;12;FGA;AVF;AVF;FGA;0.3234072636;0;4;53;25;28;0;0;0;
2011;Schweiz;Schweiz;;;13;GRÜNE;VERT-E-S;VERDI;GREENS;8.4328081411;0;40;391;190;201;15;6;9;40
2011;Schweiz;Schweiz;;;14;SD;DS;DS;SD;0.2003102175;0;6;72;14;58;0;0;0;
2011;Schweiz;Schweiz;;;16;EDU;UDF;UDF;EDU;1.2714234639;0;13;164;47;117;0;0;0;
2011;Schweiz;Schweiz;;;18;Lega;Lega;Lega;Lega;0.8047605286;0;1;8;2;6;2;1;1;50
2011;Schweiz;Schweiz;;;31;GLP;PVL;PVL;GLP;5.3808827796;0;21;241;76;165;12;4;8;33.333333333
2011;Schweiz;Schweiz;;;32;BDP;PBD;PBD;BDP;5.4154012867;0;16;151;31;120;9;2;7;22.222222222
2011;Schweiz;Schweiz;;;33;MCR;MCR;MCR;MCR;0.4386220785;0;2;18;4;14;1;0;1;0
2011;Schweiz;Schweiz;;;35;Übrige;Autres;Rimanenti;Others;1.9127850862;0;40;279;73;206;1;0;1;0
2015;Schweiz;Schweiz;;;1;FDP;PLR;PLR;FDP;16.39678712;0;56;463;142;321;33;7;26;21.212121212
2015;Schweiz;Schweiz;;;2;CVP;PDC;PPD;CVP;11.645930381;0;55;442;151;291;27;9;18;33.333333333
2015;Schweiz;Schweiz;;;3;SP;PS;PS;SP;18.840928807;0;57;482;226;256;43;25;18;58.139534884
2015;Schweiz;Schweiz;;;4;SVP;UDC;UDC;SVP;29.385929526;1;53;433;82;351;65;11;54;16.923076923
2015;Schweiz;Schweiz;;;7;EVP;PEV;PEV;EVP;1.8945072219;0;15;214;88;126;2;2;0;100
2015;Schweiz;Schweiz;;;8;CSP;PCS;PCS;CSP;0.2090988398;0;3;17;7;10;0;0;0;
2015;Schweiz;Schweiz;;;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;0.8555958529;0;10;124;46;78;1;0;1;0
2015;Schweiz;Schweiz;;;12;FGA;AVF;AVF;FGA;0.3550052274;0;2;37;18;19;0;0;0;
2015;Schweiz;Schweiz;;;13;GRÜNE;VERT-E-S;VERDI;GREENS;7.0570705579;0;41;401;203;198;11;5;6;45.454545455
2015;Schweiz;Schweiz;;;14;SD;DS;DS;SD;0.1221196357;0;5;46;10;36;0;0;0;
2015;Schweiz;Schweiz;;;16;EDU;UDF;UDF;EDU;1.1873481694;0;18;218;61;157;0;0;0;
2015;Schweiz;Schweiz;;;18;Lega;Lega;Lega;Lega;1.0002283524;0;1;8;2;6;2;1;1;50
2015;Schweiz;Schweiz;;;31;GLP;PVL;PVL;GLP;4.6258306487;0;30;362;119;243;7;3;4;42.857142857
2015;Schweiz;Schweiz;;;32;BDP;PBD;PBD;BDP;4.1037589143;0;21;227;74;153;7;1;6;14.285714286
2015;Schweiz;Schweiz;;;33;MCR;MCR;MCR;MCR;0.3245684106;0;3;15;3;12;1;0;1;0
2015;Schweiz;Schweiz;;;35;Übrige;Autres;Rimanenti;Others;1.9952923357;0;52;299;76;223;1;0;1;0
2019;Schweiz;Schweiz;;;1;FDP;PLR;PLR;FDP;15.110297508;0;64;523;195;328;29;10;19;34.482758621
2019;Schweiz;Schweiz;;;2;CVP;PDC;PPD;CVP;11.378940617;0;77;702;281;421;25;7;18;28
2019;Schweiz;Schweiz;;;3;SP;PS;PS;SP;16.835412853;0;76;604;308;296;39;25;14;64.102564103
2019;Schweiz;Schweiz;;;4;SVP;UDC;UDC;SVP;25.589250819;1;67;569;126;443;53;13;40;24.528301887
2019;Schweiz;Schweiz;;;7;EVP;PEV;PEV;EVP;2.0755499242;0;23;306;147;159;3;2;1;66.666666667
2019;Schweiz;Schweiz;;;8;CSP;PCS;PCS;CSP;0.2573093759;0;6;25;11;14;0;0;0;
2019;Schweiz;Schweiz;;;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;1.048904056;0;12;159;72;87;2;1;1;50
2019;Schweiz;Schweiz;;;12;FGA;AVF;AVF;FGA;0.3180063262;0;2;37;19;18;0;0;0;
2019;Schweiz;Schweiz;;;13;GRÜNE;VERT-E-S;VERDI;GREENS;13.19978203;0;49;455;252;203;28;17;11;60.714285714
2019;Schweiz;Schweiz;;;14;SD;DS;DS;SD;0.1320753293;0;6;64;16;48;0;0;0;
2019;Schweiz;Schweiz;;;16;EDU;UDF;UDF;EDU;0.9960677628;0;11;114;26;88;1;0;1;0
2019;Schweiz;Schweiz;;;18;Lega;Lega;Lega;Lega;0.7506200264;0;1;8;2;6;1;0;1;0
2019;Schweiz;Schweiz;;;31;GLP;PVL;PVL;GLP;7.8028954435;0;43;477;194;283;16;8;8;50
2019;Schweiz;Schweiz;;;32;BDP;PBD;PBD;BDP;2.4422319115;0;20;207;65;142;3;1;2;33.333333333
2019;Schweiz;Schweiz;;;33;MCR;MCR;MCR;MCR;0.2201710153;0;1;9;3;6;0;0;0;
2019;Schweiz;Schweiz;;;35;Übrige;Autres;Rimanenti;Others;1.8424850014;0;53;386;156;230;0;0;0;
2023;Schweiz;Schweiz;;;1;FDP;PLR;PLR;FDP;14.251526922;0;79;651;234;417;28;12;16;42.857142857
2023;Schweiz;Schweiz;;;2;CVP;PDC;PPD;CVP;;;;;;;;;;
2023;Schweiz;Schweiz;;;3;SP;PS;PS;SP;18.270386752;0;74;703;376;327;41;24;17;58.536585366
2023;Schweiz;Schweiz;;;4;SVP;UDC;UDC;SVP;27.930158825;1;71;619;140;479;62;12;50;19.35483871
2023;Schweiz;Schweiz;;;7;EVP;PEV;PEV;EVP;1.9506246547;0;29;366;190;176;2;0;2;0
2023;Schweiz;Schweiz;;;8;CSP;PCS;PCS;CSP;0.0938529362;0;1;7;4;3;0;0;0;
2023;Schweiz;Schweiz;;;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;0.7216711064;0;8;109;57;52;0;0;0;
2023;Schweiz;Schweiz;;;12;FGA;AVF;AVF;FGA;0.1700123923;0;1;36;20;16;0;0;0;
2023;Schweiz;Schweiz;;;13;GRÜNE;VERT-E-S;VERDI;GREENS;9.7824734866;0;68;643;344;299;23;13;10;56.52173913
2023;Schweiz;Schweiz;;;14;SD;DS;DS;SD;0.0794668305;0;4;37;9;28;0;0;0;
2023;Schweiz;Schweiz;;;16;EDU;UDF;UDF;EDU;1.2336279887;0;16;197;59;138;2;0;2;0
2023;Schweiz;Schweiz;;;18;Lega;Lega;Lega;Lega;0.5543141347;0;5;40;11;29;1;0;1;0
2023;Schweiz;Schweiz;;;31;GLP;PVL;PVL;GLP;7.553158272;0;86;839;351;488;10;7;3;70
2023;Schweiz;Schweiz;;;32;BDP;PBD;PBD;BDP;;;;;;;;;;
2023;Schweiz;Schweiz;;;33;MCR;MCR;MCR;MCR;0.5096495062;0;3;24;11;13;2;0;2;0
2023;Schweiz;Schweiz;;;34;Mitte;Centre;Centro;Centre;14.056672297;0;108;1099;417;682;29;9;20;31.034482759
2023;Schweiz;Schweiz;;;35;Übrige;Autres;Rimanenti;Others;2.8424038965;0;65;539;186;353;0;0;0;
1991;Kanton;Zürich;1;Zürich;1;FDP;PLR;PLR;FDP;18.660532425;0;2;70;20;50;7;3;4;42.857142857
1991;Kanton;Zürich;1;Zürich;2;CVP;PDC;PPD;CVP;5.9037038383;0;2;57;18;39;2;0;2;0
1991;Kanton;Zürich;1;Zürich;3;SP;PS;PS;SP;18.791716204;0;2;70;35;35;7;2;5;28.571428571
1991;Kanton;Zürich;1;Zürich;4;SVP;UDC;UDC;SVP;20.160142754;1;3;105;17;88;8;1;7;12.5
1991;Kanton;Zürich;1;Zürich;6;LdU;AdI;AdI;LdU;6.1038761418;0;2;70;28;42;2;1;1;50
1991;Kanton;Zürich;1;Zürich;7;EVP;PEV;PEV;EVP;4.7756444726;0;1;35;11;24;2;0;2;0
1991;Kanton;Zürich;1;Zürich;12;FGA;AVF;AVF;FGA;2.435788454;0;2;70;52;18;1;1;0;100
1991;Kanton;Zürich;1;Zürich;13;GRÜNE;VERT-E-S;VERDI;GREENS;7.0052858191;0;2;70;36;34;2;1;1;50
1991;Kanton;Zürich;1;Zürich;14;SD;DS;DS;SD;5.2027938511;0;2;54;19;35;2;0;2;0
1991;Kanton;Zürich;1;Zürich;16;EDU;UDF;UDF;EDU;1.768877557;0;1;25;3;22;0;0;0;
1991;Kanton;Zürich;1;Zürich;35;Übrige;Autres;Rimanenti;Others;9.1916384828;0;15;188;51;137;2;0;2;0
1995;Kanton;Zürich;1;Zürich;1;FDP;PLR;PLR;FDP;18.096397255;0;2;68;23;45;6;3;3;50
1995;Kanton;Zürich;1;Zürich;2;CVP;PDC;PPD;CVP;4.8723469269;0;2;68;22;46;2;1;1;50
1995;Kanton;Zürich;1;Zürich;3;SP;PS;PS;SP;23.074641246;0;1;34;19;15;9;6;3;66.666666667
1995;Kanton;Zürich;1;Zürich;4;SVP;UDC;UDC;SVP;25.458348552;1;3;102;20;82;9;1;8;11.111111111
1995;Kanton;Zürich;1;Zürich;5;LPS;PL;PLS;LPS;0.4705364072;0;1;30;6;24;0;0;0;
1995;Kanton;Zürich;1;Zürich;6;LdU;AdI;AdI;LdU;5.3137875634;0;2;68;26;42;2;1;1;50
1995;Kanton;Zürich;1;Zürich;7;EVP;PEV;PEV;EVP;3.7416241463;0;2;68;29;39;1;0;1;0
1995;Kanton;Zürich;1;Zürich;8;CSP;PCS;PCS;CSP;0.1599410835;0;1;17;5;12;0;0;0;
1995;Kanton;Zürich;1;Zürich;12;FGA;AVF;AVF;FGA;2.7240475779;0;2;68;49;19;1;1;0;100
1995;Kanton;Zürich;1;Zürich;13;GRÜNE;VERT-E-S;VERDI;GREENS;6.5244312958;0;2;65;31;34;2;1;1;50
1995;Kanton;Zürich;1;Zürich;14;SD;DS;DS;SD;3.2940974716;0;1;34;7;27;1;0;1;0
1995;Kanton;Zürich;1;Zürich;16;EDU;UDF;UDF;EDU;1.8639776777;0;2;59;8;51;0;0;0;
1995;Kanton;Zürich;1;Zürich;35;Übrige;Autres;Rimanenti;Others;4.4058227967;0;6;124;32;92;1;0;1;0
1999;Kanton;Zürich;1;Zürich;1;FDP;PLR;PLR;FDP;17.819872011;0;2;68;16;52;6;2;4;33.333333333
1999;Kanton;Zürich;1;Zürich;2;CVP;PDC;PPD;CVP;5.1228209568;0;2;68;25;43;2;2;0;100
1999;Kanton;Zürich;1;Zürich;3;SP;PS;PS;SP;25.627277037;0;3;102;49;53;10;8;2;80
1999;Kanton;Zürich;1;Zürich;4;SVP;UDC;UDC;SVP;32.481690191;1;3;102;20;82;13;1;12;7.6923076923
1999;Kanton;Zürich;1;Zürich;5;LPS;PL;PLS;LPS;0.1538976376;0;1;22;5;17;0;0;0;
1999;Kanton;Zürich;1;Zürich;6;LdU;AdI;AdI;LdU;2.0531481473;0;2;51;14;37;1;0;1;0
1999;Kanton;Zürich;1;Zürich;7;EVP;PEV;PEV;EVP;3.4358647903;0;3;102;44;58;1;0;1;0
1999;Kanton;Zürich;1;Zürich;8;CSP;PCS;PCS;CSP;0.217976821;0;1;34;13;21;0;0;0;
1999;Kanton;Zürich;1;Zürich;12;FGA;AVF;AVF;FGA;1.7883917571;0;2;68;50;18;0;0;0;
1999;Kanton;Zürich;1;Zürich;13;GRÜNE;VERT-E-S;VERDI;GREENS;4.1357342194;0;1;34;17;17;1;1;0;100
1999;Kanton;Zürich;1;Zürich;14;SD;DS;DS;SD;1.5452724937;0;1;34;9;25;0;0;0;
1999;Kanton;Zürich;1;Zürich;16;EDU;UDF;UDF;EDU;1.760433294;0;1;34;8;26;0;0;0;
1999;Kanton;Zürich;1;Zürich;35;Übrige;Autres;Rimanenti;Others;3.857620644;0;6;173;49;124;0;0;0;
2003;Kanton;Zürich;1;Zürich;1;FDP;PLR;PLR;FDP;16.243032381;0;3;102;34;68;5;1;4;20
2003;Kanton;Zürich;1;Zürich;2;CVP;PDC;PPD;CVP;5.4298602765;0;2;68;24;44;2;2;0;100
2003;Kanton;Zürich;1;Zürich;3;SP;PS;PS;SP;25.659523162;0;3;101;55;46;10;8;2;80
2003;Kanton;Zürich;1;Zürich;4;SVP;UDC;UDC;SVP;33.390667134;1;4;112;19;93;12;0;12;0
2003;Kanton;Zürich;1;Zürich;7;EVP;PEV;PEV;EVP;4.1092189366;0;3;102;39;63;1;0;1;0
2003;Kanton;Zürich;1;Zürich;12;FGA;AVF;AVF;FGA;1.4368171538;0;3;102;51;51;0;0;0;
2003;Kanton;Zürich;1;Zürich;13;GRÜNE;VERT-E-S;VERDI;GREENS;8.4688229557;0;3;102;45;57;3;1;2;33.333333333
2003;Kanton;Zürich;1;Zürich;14;SD;DS;DS;SD;0.8697480004;0;1;34;9;25;0;0;0;
2003;Kanton;Zürich;1;Zürich;16;EDU;UDF;UDF;EDU;2.0614940815;0;1;34;4;30;1;0;1;0
2003;Kanton;Zürich;1;Zürich;35;Übrige;Autres;Rimanenti;Others;2.3308159194;0;9;207;90;117;0;0;0;
2007;Kanton;Zürich;1;Zürich;1;FDP;PLR;PLR;FDP;13.15495119;0;3;72;19;53;4;1;3;25
2007;Kanton;Zürich;1;Zürich;2;CVP;PDC;PPD;CVP;7.5555553647;0;2;58;26;32;3;2;1;66.666666667
2007;Kanton;Zürich;1;Zürich;3;SP;PS;PS;SP;19.8082242;0;2;66;34;32;7;4;3;57.142857143
2007;Kanton;Zürich;1;Zürich;4;SVP;UDC;UDC;SVP;33.917144145;1;4;108;23;85;12;1;11;8.3333333333
2007;Kanton;Zürich;1;Zürich;7;EVP;PEV;PEV;EVP;3.6811439408;0;2;68;30;38;1;0;1;0
2007;Kanton;Zürich;1;Zürich;8;CSP;PCS;PCS;CSP;0.1470281608;0;1;34;15;19;0;0;0;
2007;Kanton;Zürich;1;Zürich;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;0.2284694935;0;1;34;12;22;0;0;0;
2007;Kanton;Zürich;1;Zürich;12;FGA;AVF;AVF;FGA;1.1151693393;0;2;68;32;36;0;0;0;
2007;Kanton;Zürich;1;Zürich;13;GRÜNE;VERT-E-S;VERDI;GREENS;10.365832491;0;5;152;71;81;4;2;2;50
2007;Kanton;Zürich;1;Zürich;14;SD;DS;DS;SD;0.5402485027;0;1;34;8;26;0;0;0;
2007;Kanton;Zürich;1;Zürich;16;EDU;UDF;UDF;EDU;2.1185340016;0;1;34;5;29;0;0;0;
2007;Kanton;Zürich;1;Zürich;31;GLP;PVL;PVL;GLP;7.0101747267;0;1;34;16;18;3;2;1;66.666666667
2007;Kanton;Zürich;1;Zürich;35;Übrige;Autres;Rimanenti;Others;0.357524444;0;4;42;12;30;0;0;0;
2011;Kanton;Zürich;1;Zürich;1;FDP;PLR;PLR;FDP;11.643245998;0;2;68;18;50;4;1;3;25
2011;Kanton;Zürich;1;Zürich;2;CVP;PDC;PPD;CVP;5.0302889422;0;2;68;29;39;2;2;0;100
2011;Kanton;Zürich;1;Zürich;3;SP;PS;PS;SP;19.272491107;0;3;75;36;39;7;3;4;42.857142857
2011;Kanton;Zürich;1;Zürich;4;SVP;UDC;UDC;SVP;29.839178508;1;3;85;20;65;11;1;10;9.0909090909
2011;Kanton;Zürich;1;Zürich;7;EVP;PEV;PEV;EVP;3.0699451418;0;2;68;22;46;1;1;0;100
2011;Kanton;Zürich;1;Zürich;8;CSP;PCS;PCS;CSP;0.1567293858;0;1;17;10;7;0;0;0;
2011;Kanton;Zürich;1;Zürich;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;0.2388023693;0;1;33;11;22;0;0;0;
2011;Kanton;Zürich;1;Zürich;12;FGA;AVF;AVF;FGA;1.0229398895;0;1;34;16;18;0;0;0;
2011;Kanton;Zürich;1;Zürich;13;GRÜNE;VERT-E-S;VERDI;GREENS;8.3943145124;0;2;68;30;38;3;0;3;0
2011;Kanton;Zürich;1;Zürich;14;SD;DS;DS;SD;0.2814549254;0;1;34;8;26;0;0;0;
2011;Kanton;Zürich;1;Zürich;16;EDU;UDF;UDF;EDU;2.1682677969;0;2;68;21;47;0;0;0;
2011;Kanton;Zürich;1;Zürich;31;GLP;PVL;PVL;GLP;11.485052054;0;2;64;21;43;4;1;3;25
2011;Kanton;Zürich;1;Zürich;32;BDP;PBD;PBD;BDP;5.2774674309;0;1;34;9;25;2;1;1;50
2011;Kanton;Zürich;1;Zürich;35;Übrige;Autres;Rimanenti;Others;2.1198219386;0;7;86;24;62;0;0;0;
2015;Kanton;Zürich;1;Zürich;1;FDP;PLR;PLR;FDP;15.321626513;0;2;70;24;46;5;2;3;40
2015;Kanton;Zürich;1;Zürich;2;CVP;PDC;PPD;CVP;4.1838552483;0;2;70;25;45;2;2;0;100
