id,date,titre_court_de,titre_court_fr,titre_court_en,titre_complet_de,titre_complet_fr,mot_cle,swissvoteslink,forme,d1e1,d1e2,d1e3,d2e1,d2e2,d2e3,d3e1,d3e2,d3e3,cf-pos,legislature,annee_legislatur,info_br-de,info_br-fr,info_br-en,info_amt-de,info_amt-fr,info_amt-en,easyvideo_de,easyvideo_fr,p-fdp,p-sps,p-svp,p-mitte,p-evp,p-gps,p-glp,p-pda,p-sd,p-edu,p-fps,p-lega,p-kvp,p-mcg,p-ucsp,p-cvp,p-bdp,p-lps,p-ldu,p-poch,p-rep,p-eco,p-sgv,p-sbv,p-sgb,p-travs,p-sav,p-vsa,p-vpod,p-voev,p-tcs,p-vcs,p-acs,p-sbk,p-ssv,p-gem,p-kdk,p-kkjpd,p-gdk,p-ldk,p-vdk,p-sodk,p-endk,p-fdk,p-edk,p-bpuk,w-fdp,w-sp,w-svp,w-mitte,w-evp,w-gps,w-glp,w-csp,w-pda,w-sd,w-edu,w-fps,w-lega,w-kvp,w-mcg,w-cvp,w-bdp,w-lps,w-ldu,w-poch,w-rep,w-ubrige,ja-lager,nein-lager,keinepar-summe,freigabe-summe,unbekannt-summe,neutral-summe,poster_ja_mfg,poster_nein_mfg,volk,stand,annahme,berecht,stimmen,bet,leer,ungultig,gultig,volkja,volknein,volkja-proz,kt-ja,kt-nein,ktjaproz,zh-berecht,zh-stimmen,zh-bet,zh-gultig,zh-ja,zh-nein,zh-japroz,zh-annahme,be-berecht,be-stimmen,be-bet,be-gultig,be-ja,be-nein,be-japroz,be-annahme,lu-berecht,lu-stimmen,lu-bet,lu-gultig,lu-ja,lu-nein,lu-japroz,lu-annahme,ur-berecht,ur-stimmen,ur-bet,ur-gultig,ur-ja,ur-nein,ur-japroz,ur-annahme,sz-berecht,sz-stimmen,sz-bet,sz-gultig,sz-ja,sz-nein,sz-japroz,sz-annahme,ow-berecht,ow-stimmen,ow-bet,ow-gultig,ow-ja,ow-nein,ow-japroz,ow-annahme,nw-berecht,nw-stimmen,nw-bet,nw-gultig,nw-ja,nw-nein,nw-japroz,nw-annahme,gl-berecht,gl-stimmen,gl-bet,gl-gultig,gl-ja,gl-nein,gl-japroz,gl-annahme,zg-berecht,zg-stimmen,zg-bet,zg-gultig,zg-ja,zg-nein,zg-japroz,zg-annahme,fr-berecht,fr-stimmen,fr-bet,fr-gultig,fr-ja,fr-nein,fr-japroz,fr-annahme,so-berecht,so-stimmen,so-bet,so-gultig,so-ja,so-nein,so-japroz,so-annahme,bs-berecht,bs-stimmen,bs-bet,bs-gultig,bs-ja,bs-nein,bs-japroz,bs-annahme,bl-berecht,bl-stimmen,bl-bet,bl-gultig,bl-ja,bl-nein,bl-japroz,bl-annahme,sh-berecht,sh-stimmen,sh-bet,sh-gultig,sh-ja,sh-nein,sh-japroz,sh-annahme,ar-berecht,ar-stimmen,ar-bet,ar-gultig,ar-ja,ar-nein,ar-japroz,ar-annahme,ai-berecht,ai-stimmen,ai-bet,ai-gultig,ai-ja,ai-nein,ai-japroz,ai-annahme,sg-berecht,sg-stimmen,sg-bet,sg-gultig,sg-ja,sg-nein,sg-japroz
305,05.04.1981,Initiative «für eine neue Ausländerpolitik»,Initiative «pour une nouvelle politique à l'égard des étrangers»,"Initiative ""for a new policy towards foreigners""",Volksinitiative «Mitenand-Initiative für eine neue Ausländerpolitik»,Initiative populaire «être solidaires en faveur d'une nouvelle politique à l'égard des étrangers»,.,https://swissvotes.ch/vote/305.00,3.00,10.00,10.30,10.31,4.00,4.20,4.24,.,.,.,2.00,41.00,1979-1983,,,,,,,.,.,2.00,1.00,2.00,9999.00,2.00,.,9999.00,1.00,2.00,.,9999.00,9999.00,9999.00,9999.00,.,2.00,9999.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,5.00,1.00,2.00,5.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,32.29,63.87,0.00,0.00,3.88,.,.,.,0.00,0.00,0.00,3947890.00,1574500.00,39.88,15524.00,2292.00,1556684.00,252531.00,1304153.00,16.22,0.00,23.00,0.00,701539.00,300691.00,42.86,297131.00,46445.00,250686.00,15.63,0.00,609128.00,201964.00,33.16,200333.00,27327.00,173006.00,13.64,0.00,185920.00,78829.00,42.40,78238.00,9969.00,68269.00,12.74,0.00,21801.00,10348.00,47.47,10156.00,1029.00,9127.00,10.13,0.00,59882.00,22885.00,38.22,22780.00,2522.00,20258.00,11.07,0.00,16395.00,6240.00,38.06,6191.00,535.00,5656.00,8.64,0.00,19103.00,8159.00,42.71,8088.00,794.00,7294.00,9.82,0.00,22741.00,9534.00,41.92,9487.00,672.00,8815.00,7.08,0.00,45252.00,22038.00,48.70,21903.00,2693.00,19210.00,12.30,0.00,117231.00,45397.00,38.72,45026.00,10902.00,34124.00,24.21,0.00,139820.00,52778.00,37.75,51765.00,6904.00,44861.00,13.34,0.00,139506.00,50980.00,36.54,50653.00,9528.00,41125.00,18.81,0.00,137622.00,53420.00,38.82,52715.00,9481.00,43234.00,17.99,0.00,43399.00,30783.00,70.93,29363.00,4453.00,24910.00,15.17,0.00,30461.00,12072.00,39.63,11972.00,1257.00,10715.00,10.50,0.00,8388.00,3479.00,41.48,3444.00,244.00,3200.00,7.08,0.00,235352.00,84217.00,35.78,83641.00,8426.00,75215.00,10.07
306,14.06.1981,Artikel zur Gleichstellung von Mann und Frau,Egalité des droits entre hommes et femmes,Equality of rights between men and women,Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau» (Gegenentwurf),Arrêté fédéral concernant l'initiative populaire «pour l'égalité des droits entre hommes et femmes» (contre-projet),.,https://swissvotes.ch/vote/306.00,4.00,10.00,10.30,10.33,1.00,1.60,1.62,.,.,.,1.00,41.00,1979-1983,,,,,,,.,.,1.00,1.00,1.00,9999.00,1.00,.,9999.00,1.00,2.00,.,9999.00,9999.00,9999.00,9999.00,.,1.00,9999.00,1.00,1.00,1.00,2.00,.,.,.,1.00,1.00,.,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,94.21,1.96,0.00,0.00,3.88,.,https://www.emuseum.ch/objects/230386/,.,1.00,1.00,1.00,3958455.00,1343601.00,33.94,17312.00,2702.00,1323587.00,797702.00,525885.00,60.27,15.50,7.50,67.39,703453.00,270321.00,38.43,266619.00,168099.00,98520.00,63.05,1.00,609921.00,179036.00,29.35,177168.00,108695.00,68473.00,61.35,1.00,186853.00,68552.00,36.69,67982.00,34313.00,33669.00,50.47,1.00,21801.00,8508.00,39.03,8265.00,3616.00,4649.00,43.75,0.00,60191.00,20283.00,33.70,20075.00,7594.00,12481.00,37.83,0.00,16417.00,5442.00,33.15,5362.00,2818.00,2544.00,52.56,1.00,19246.00,7235.00,37.59,7141.00,3508.00,3633.00,49.12,0.00,22792.00,8072.00,35.42,8014.00,3362.00,4652.00,41.95,0.00,45447.00,20789.00,45.74,20554.00,11925.00,8629.00,58.02,1.00,117543.00,29240.00,24.88,28936.00,18674.00,10262.00,64.54,1.00,140444.00,92184.00,65.64,88576.00,51029.00,37547.00,57.61,1.00,139188.00,45153.00,32.44,44687.00,32354.00,12333.00,72.40,1.00,137971.00,44883.00,32.53,44530.00,30540.00,13990.00,68.58,1.00,43514.00,30235.00,69.48,28591.00,16673.00,11918.00,58.32,1.00,30578.00,11348.00,37.11,11244.00,4743.00,6501.00,42.18,0.00,8398.00,2558.00,30.46,2529.00,805.00,1724.00,31.83,0.00,236282.00,74314.00,31.45,73620.00,34073.00,39547.00,46.28
307,14.06.1981,Konsumentenschutz-Artikel,Article constitutionnel sur la protection des consommateurs,Constitutional article on consumer protection,Bundesbeschluss über die Volksinitiative «zur Absicherung der Rechte der Konsumenten» (Gegenentwurf),Arrêté fédéral concernant l'initiative populaire «pour la protection des droits des consommateurs» (contre-projet),.,https://swissvotes.ch/vote/307.00,4.00,4.00,4.10,4.15,.,.,.,.,.,.,1.00,41.00,1979-1983,,,,,,,.,.,2.00,1.00,1.00,9999.00,1.00,.,9999.00,1.00,1.00,.,9999.00,9999.00,9999.00,9999.00,.,1.00,9999.00,2.00,1.00,1.00,2.00,2.00,5.00,.,1.00,1.00,2.00,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,68.73,27.44,0.00,0.00,3.88,.,.,.,1.00,1.00,1.00,3958455.00,1341560.00,33.89,29949.00,2605.00,1309006.00,858012.00,450994.00,65.55,20.00,3.00,86.96,703453.00,268994.00,38.24,261035.00,172782.00,88253.00,66.19,1.00,609921.00,179036.00,29.35,176395.00,122796.00,53599.00,69.61,1.00,186853.00,68552.00,36.69,67452.00,39061.00,28391.00,57.91,1.00,21801.00,8454.00,38.78,8036.00,4898.00,3138.00,60.95,1.00,60191.00,20280.00,33.69,19873.00,9114.00,10759.00,45.86,0.00,16417.00,5433.00,33.09,5264.00,2446.00,2818.00,46.47,0.00,19246.00,7223.00,37.53,7061.00,3961.00,3100.00,56.10,1.00,22792.00,8063.00,35.38,7970.00,4826.00,3144.00,60.55,1.00,45447.00,20670.00,45.48,20192.00,12502.00,7690.00,61.92,1.00,117543.00,29214.00,24.85,28774.00,19606.00,9168.00,68.14,1.00,140444.00,92184.00,65.64,88039.00,61795.00,26244.00,70.19,1.00,139188.00,45114.00,32.41,44341.00,35739.00,8602.00,80.60,1.00,137971.00,44793.00,32.47,44230.00,32457.00,11773.00,73.38,1.00,43514.00,30349.00,69.75,27843.00,16236.00,11607.00,58.31,1.00,30578.00,11305.00,36.97,11118.00,5821.00,5297.00,52.36,1.00,8398.00,2549.00,30.35,2517.00,1126.00,1391.00,44.74,0.00,236282.00,74189.00,31.40,73172.00,43486.00,29686.00,59.43
308,29.11.1981,Weiterführung der Finanzordnung,Prorogation du régime financier,,Bundesbeschluss über die Weiterführung der Finanzordnung und die Verbesserung des Bundeshaushaltes,Arrêté fédéral sur la prorogation du régime financier et l'amélioration des finances fédérales,.,https://swissvotes.ch/vote/308.00,1.00,6.00,6.20,.,6.00,6.10,6.12,.,.,.,1.00,41.00,1979-1983,,,,,,,.,.,1.00,1.00,1.00,9999.00,1.00,.,9999.00,2.00,5.00,.,9999.00,9999.00,9999.00,9999.00,.,1.00,9999.00,1.00,2.00,2.00,2.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,86.36,8.48,0.00,1.32,3.88,.,.,.,1.00,1.00,1.00,3976769.00,1207049.00,30.35,18598.00,1616.00,1186835.00,818327.00,368508.00,68.95,23.00,0.00,100.00,706319.00,282232.00,39.96,277648.00,205468.00,72180.00,74.00,1.00,613123.00,171847.00,28.03,170363.00,118009.00,52354.00,69.27,1.00,188034.00,72295.00,38.45,71064.00,47783.00,23281.00,67.24,1.00,21875.00,8775.00,40.11,8563.00,5513.00,3050.00,64.38,1.00,60662.00,19880.00,32.77,19690.00,11638.00,8052.00,59.11,1.00,16611.00,5105.00,30.73,5040.00,2853.00,2187.00,56.61,1.00,19471.00,6154.00,31.61,6083.00,4215.00,1868.00,69.29,1.00,22836.00,7293.00,31.94,7237.00,4817.00,2420.00,66.56,1.00,45782.00,19964.00,43.61,19747.00,13359.00,6388.00,67.65,1.00,118473.00,29891.00,25.23,29564.00,20806.00,8758.00,70.38,1.00,141168.00,49615.00,35.15,48523.00,30907.00,17616.00,63.70,1.00,138859.00,31456.00,22.65,31195.00,22034.00,9161.00,70.63,1.00,138643.00,36955.00,26.65,36471.00,24224.00,12247.00,66.42,1.00,43704.00,29248.00,66.92,26594.00,18213.00,8381.00,68.49,1.00,30766.00,11539.00,37.51,11394.00,7219.00,4175.00,63.36,1.00,8403.00,2532.00,30.13,2514.00,1639.00,875.00,65.19,1.00,237831.00,68016.00,28.60,67403.00,45221.00,22182.00,67.09
309,06.06.1982,Revision des Strafgesetzes (Gewaltverbrechen),Révision du code pénal (actes de violence criminels),,Schweizerisches Strafgesetzbuch (Gewaltverbrechen),"Code pénal suisse, modification du 09.10.1981 (Actes de violence criminels)",.,https://swissvotes.ch/vote/309.00,2.00,1.00,1.60,1.65,3.00,3.10,3.12,.,.,.,1.00,41.00,1979-1983,,,,,,,.,.,1.00,2.00,1.00,9999.00,1.00,.,9999.00,2.00,1.00,1.00,9999.00,9999.00,9999.00,9999.00,.,1.00,9999.00,1.00,1.00,2.00,1.00,3.00,1.00,.,2.00,2.00,3.00,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,68.20,28.22,0.00,0.00,3.63,.,.,https://www.emuseum.ch/objects/11235/ https://www.emuseum.ch/objects/174159/,1.00,3.00,1.00,3999674.00,1407028.00,35.18,22595.00,1762.00,1382671.00,880880.00,501791.00,63.71,22.00,1.00,95.65,708674.00,314809.00,44.42,308956.00,203221.00,105735.00,65.78,1.00,616186.00,245575.00,39.85,242052.00,160362.00,81690.00,66.25,1.00,189817.00,64192.00,33.82,63230.00,40285.00,22945.00,63.71,1.00,22049.00,8241.00,37.38,8046.00,4965.00,3081.00,61.71,1.00,61145.00,19366.00,31.67,19101.00,12091.00,7010.00,63.30,1.00,16863.00,7666.00,45.46,7402.00,4888.00,2514.00,66.04,1.00,19669.00,6545.00,33.28,6421.00,4353.00,2068.00,67.79,1.00,22855.00,12946.00,56.64,12739.00,8500.00,4239.00,66.72,1.00,46330.00,18040.00,38.94,17848.00,11370.00,6478.00,63.70,1.00,119411.00,27303.00,22.86,26914.00,18035.00,8879.00,67.01,1.00,141967.00,57993.00,40.85,56671.00,35898.00,20773.00,63.34,1.00,138488.00,50095.00,36.17,49600.00,27661.00,21939.00,55.77,1.00,139872.00,45929.00,32.84,45352.00,24208.00,21144.00,53.38,1.00,43928.00,30198.00,68.74,28080.00,17268.00,10812.00,61.50,1.00,30873.00,11409.00,36.95,11254.00,7734.00,3520.00,68.72,1.00,8534.00,2192.00,25.69,2178.00,1682.00,496.00,77.23,1.00,239362.00,76460.00,31.94,75703.00,53914.00,21789.00,71.22
310,06.06.1982,Ausländergesetz,Loi sur les étrangers,,Ausländergesetz,Loi sur les étrangers (LETr),.,https://swissvotes.ch/vote/310.00,2.00,10.00,10.30,10.31,4.00,4.20,4.24,.,.,.,1.00,41.00,1979-1983,,,,,,,.,.,1.00,1.00,1.00,9999.00,1.00,.,9999.00,1.00,2.00,2.00,9999.00,9999.00,9999.00,9999.00,.,1.00,9999.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,94.21,2.21,0.00,0.00,3.63,.,https://www.emuseum.ch/objects/5355/ https://www.emuseum.ch/objects/108580/ https://www.emuseum.ch/objects/108581/,.,0.00,3.00,0.00,3999674.00,1406966.00,35.18,34425.00,1869.00,1370672.00,680404.00,690268.00,49.64,9.00,14.00,39.13,708674.00,314986.00,44.45,305963.00,155003.00,150960.00,50.66,1.00,616186.00,245573.00,39.85,239362.00,115445.00,123917.00,48.23,0.00,189817.00,64180.00,33.81,63038.00,28619.00,34419.00,45.40,0.00,22049.00,8227.00,37.31,7947.00,3454.00,4493.00,43.46,0.00,61145.00,19358.00,31.66,18993.00,7956.00,11037.00,41.89,0.00,16863.00,7649.00,45.36,7347.00,3187.00,4160.00,43.38,0.00,19669.00,6527.00,33.18,6379.00,3183.00,3196.00,49.90,0.00,22855.00,12946.00,56.64,12692.00,5049.00,7643.00,39.78,0.00,46330.00,18165.00,39.21,17829.00,8464.00,9365.00,47.47,0.00,119411.00,27293.00,22.86,26628.00,15747.00,10881.00,59.14,1.00,141967.00,57993.00,40.85,56494.00,26622.00,29872.00,47.12,0.00,138488.00,50101.00,36.18,49242.00,25072.00,24170.00,50.92,1.00,139872.00,45871.00,32.79,45202.00,23201.00,22001.00,51.33,1.00,43928.00,30215.00,68.78,27785.00,13488.00,14297.00,48.54,0.00,30873.00,11395.00,36.91,11210.00,5172.00,6038.00,46.14,0.00,8534.00,2123.00,24.88,2096.00,1005.00,1091.00,47.95,0.00,239362.00,76452.00,31.94,75312.00,39454.00,35858.00,52.39
311.1,28.11.1982,Preisüberwachungs-Initiative,Initiative sur la surveillance des prix,,Volksinitiative «zur Verhinderung missbräuchlicher Preise»,Initiative populaire «tendant à empêcher des abus dans la formation des prix»,.,https://swissvotes.ch/vote/311.10,3.00,4.00,4.10,4.14,4.00,4.10,4.15,.,.,.,2.00,41.00,1979-1983,,,,,,,.,.,2.00,1.00,2.00,9999.00,1.00,.,9999.00,1.00,1.00,2.00,9999.00,9999.00,9999.00,9999.00,.,5.00,9999.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,35.84,39.29,0.00,21.29,3.63,.,.,.,1.00,1.00,1.00,4022995.00,1324471.00,32.92,12579.00,9698.00,1302194.00,730938.00,530523.00,56.13,18.00,5.00,78.26,711634.00,272112.00,38.24,268023.00,156703.00,104769.00,58.47,1.00,620471.00,193810.00,31.24,191809.00,105334.00,80923.00,54.92,1.00,191068.00,62103.00,32.50,61048.00,31803.00,27135.00,52.10,1.00,22218.00,8810.00,39.65,8544.00,4767.00,3559.00,55.79,1.00,61825.00,19597.00,31.70,19299.00,8878.00,9766.00,46.00,0.00,17069.00,4223.00,24.74,4156.00,1814.00,2227.00,43.65,0.00,19973.00,6262.00,31.35,6192.00,2708.00,3260.00,43.73,0.00,22942.00,7326.00,31.93,7271.00,4075.00,2963.00,56.04,1.00,46888.00,18545.00,39.55,18392.00,9874.00,7878.00,53.69,1.00,120335.00,29173.00,24.24,28794.00,16081.00,12095.00,55.85,1.00,142766.00,53167.00,37.24,52315.00,32388.00,18109.00,61.91,1.00,138023.00,40380.00,29.26,40042.00,26404.00,11460.00,65.94,1.00,141283.00,43407.00,30.72,42877.00,25015.00,15901.00,58.34,1.00,44130.00,30251.00,68.55,28603.00,15459.00,12297.00,54.05,1.00,31159.00,11570.00,37.13,11364.00,4519.00,6426.00,39.77,0.00,8567.00,2508.00,29.28,2479.00,852.00,1571.00,34.37,0.00,241486.00,74131.00,30.70,73328.00,37379.00,32840.00,50.98
311.2,28.11.1982,Gegenentwurf zur Preisüberwachungs-Initiative,Contre-projet à l'initiative sur la surveillance des prix,,Gegenentwurf zur Volksinitiative «zur Verhinderung missbräuchlicher Preise»,Contre-projet à l'initiative populaire «tendant à empêcher des abus dans la formation des prix»,.,https://swissvotes.ch/vote/311.20,4.00,4.00,4.10,4.14,4.00,4.10,4.15,.,.,.,1.00,41.00,1979-1983,,,,,,,.,.,1.00,2.00,1.00,9999.00,4.00,.,9999.00,2.00,4.00,2.00,9999.00,9999.00,9999.00,9999.00,.,5.00,9999.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,4.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,35.61,35.97,0.00,21.29,3.63,.,.,.,0.00,0.00,0.00,4022995.00,1324471.00,32.92,12579.00,9698.00,1302194.00,281132.00,851006.00,21.59,0.00,23.00,0.00,711634.00,272112.00,38.24,268023.00,55923.00,177022.00,20.87,0.00,620471.00,193810.00,31.24,191809.00,47989.00,121850.00,25.02,0.00,191068.00,62103.00,32.50,61048.00,13812.00,38402.00,22.62,0.00,22218.00,8810.00,39.65,8544.00,1643.00,5736.00,19.23,0.00,61825.00,19597.00,31.70,19299.00,3902.00,13005.00,20.22,0.00,17069.00,4223.00,24.74,4156.00,910.00,2849.00,21.90,0.00,19973.00,6262.00,31.35,6192.00,1639.00,3837.00,26.47,0.00,22942.00,7326.00,31.93,7271.00,1574.00,4780.00,21.65,0.00,46888.00,18545.00,39.55,18392.00,3815.00,11592.00,20.74,0.00,120335.00,29173.00,24.24,28794.00,6650.00,20064.00,23.10,0.00,142766.00,53167.00,37.24,52315.00,11535.00,33286.00,22.05,0.00,138023.00,40380.00,29.26,40042.00,8786.00,22442.00,21.94,0.00,141283.00,43407.00,30.72,42877.00,10563.00,22676.00,24.64,0.00,44130.00,30251.00,68.55,28603.00,4236.00,19530.00,14.81,0.00,31159.00,11570.00,37.13,11364.00,2453.00,7664.00,21.59,0.00,8567.00,2508.00,29.28,2479.00,702.00,1645.00,28.32,0.00,241486.00,74131.00,30.70,73328.00,18911.00,43910.00,25.79
312,27.02.1983,Neuregelung der Treibstoffzölle,Nouvelle réglementation des droits de douane sur les carburants,,Bundesbeschluss über die Neuregelung bei den Treibstoffzöllen,Arrêté fédéral concernant une nouvelle réglementation des droits de douane sur les carburants,.,https://swissvotes.ch/vote/312.00,1.00,8.00,8.20,8.21,6.00,6.10,6.14,.,.,.,1.00,41.00,1979-1983,,,,,,,.,.,1.00,5.00,1.00,9999.00,2.00,.,9999.00,2.00,2.00,.,9999.00,9999.00,9999.00,9999.00,.,1.00,9999.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,.,.,.,2.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,59.70,12.03,0.00,24.44,3.88,.,.,.,1.00,1.00,1.00,4034694.00,1307873.00,32.42,17706.00,1162.00,1289005.00,679134.00,609871.00,52.69,15.50,7.50,67.39,713637.00,288000.00,40.36,283180.00,137646.00,145534.00,48.61,0.00,621719.00,184479.00,29.67,182890.00,97347.00,85543.00,53.23,1.00,191667.00,76662.00,40.00,75450.00,39460.00,35990.00,52.30,1.00,22256.00,8772.00,39.41,8608.00,5504.00,3104.00,63.94,1.00,62116.00,21116.00,33.99,21013.00,10350.00,10663.00,49.26,0.00,17081.00,5823.00,34.09,5771.00,2709.00,3062.00,46.94,0.00,20060.00,7767.00,38.72,7695.00,3948.00,3747.00,51.31,1.00,22871.00,7769.00,33.97,7714.00,4047.00,3667.00,52.46,1.00,47065.00,20956.00,44.53,20658.00,10966.00,9692.00,53.08,1.00,120964.00,31699.00,26.21,31233.00,16943.00,14290.00,54.25,1.00,142936.00,55376.00,38.74,54806.00,27950.00,26856.00,51.00,1.00,138057.00,41802.00,30.28,41464.00,21727.00,19737.00,52.40,1.00,141682.00,48136.00,33.97,47718.00,24652.00,23066.00,51.66,1.00,44239.00,31146.00,70.40,28948.00,12773.00,16175.00,44.12,0.00,31176.00,12374.00,39.69,12254.00,5280.00,6974.00,43.09,0.00,8601.00,3086.00,35.88,3064.00,1372.00,1692.00,44.78,0.00,241790.00,80596.00,33.33,79947.00,39445.00,40502.00,49.34
313,27.02.1983,Energieartikel,Article sur l'énergie,,Bundesbeschluss über den Energieartikel in der Bundesverfassung,Arrêté fédéral concernant l'article constitutionnel sur l'énergie,.,https://swissvotes.ch/vote/313.00,1.00,7.00,7.10,.,9.00,9.30,9.31,.,.,.,1.00,41.00,1979-1983,,,,,,,.,.,1.00,5.00,1.00,9999.00,1.00,.,9999.00,5.00,1.00,.,9999.00,9999.00,9999.00,9999.00,.,1.00,9999.00,1.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24.01,24.44,11.60,.,2.22,0.63,.,.,2.08,1.32,0.25,.,.,.,.,21.29,.,2.80,4.07,1.70,0.63,3.00,63.24,6.40,0.00,26.52,3.88,.,.,.,1.00,0.00,0.00,4034694.00,1306593.00,32.38,29811.00,1250.00,1275532.00,649485.00,626047.00,50.92,11.00,12.00,47.83,713637.00,287538.00,40.29,278858.00,144202.00,134656.00,51.71,1.00,621719.00,184479.00,29.67,181546.00,97829.00,83717.00,53.89,1.00,191667.00,76641.00,39.99,74716.00,35976.00,38740.00,48.15,0.00,22256.00,8725.00,39.20,8466.00,4179.00,4287.00,49.36,0.00,62116.00,21120.00,34.00,20905.00,6982.00,13923.00,33.40,0.00,17081.00,5820.00,34.07,5715.00,2167.00,3548.00,37.92,0.00,20060.00,7761.00,38.69,7641.00,2876.00,4765.00,37.64,0.00,22871.00,7767.00,33.96,7679.00,3113.00,4566.00,40.54,0.00,47065.00,20898.00,44.40,20421.00,9337.00,11084.00,45.72,0.00,120964.00,31644.00,26.16,30979.00,16107.00,14872.00,51.99,1.00,142936.00,55376.00,38.74,54590.00,26635.00,27955.00,48.79,0.00,138057.00,41797.00,30.28,41156.00,19585.00,21571.00,47.59,0.00,141682.00,48127.00,33.97,47422.00,22556.00,24866.00,47.56,0.00,44239.00,31126.00,70.36,28024.00,12811.00,15213.00,45.71,0.00,31176.00,12344.00,39.59,12168.00,5480.00,6688.00,45.04,0.00,8601.00,3084.00,35.86,3044.00,1125.00,1919.00,36.96,0.00,241790.00,80319.00,33.22,79233.00,41234.00,37999.00,52.04
